시도,주소,학교명,상태_x,위도_x,경도_x,위도경도,상태_y,위도_y,경도_y
전남,전라남도 신안군 흑산면가거도리 266,가거도초등학교,1,34.05290894,125.1302067,34.05290894397946125.13020673828434,,,
충북,충청북도 청주시 흥덕구장구봉로 93(복대2동 2443),가경초등학교,1,36.62443315,127.4436286,36.62443315288669127.44362858384716,,,
경남,경상남도 창원시 마산회원구 양덕동84-3,가고파초등학교,1,35.22552352,128.5805425,35.22552352239992128.5805425148861,,,
충북,충청북도 단양군 가곡면 사평리435번지,가곡초등학교,1,37.02733943,128.3852164,37.02733943475426128.38521641056775,,,
충북,충청북도 단양군 가곡면 대대리220-1,가곡초등학교대곡분교장,1,36.99800792,128.4270514,36.99800792134485128.42705139332315,,,
충북,충청북도 단양군 가곡면 보발본동1길 17. 가곡초등학교 보발분교장 (가곡면.가곡초등학교보발분교장),가곡초등학교보발분교장,1,37.02909545,128.4488139,37.029095446198646128.44881386589512,,,
충북,충청북도 충주시 중앙탑면 첨단산업로 670 (중앙탑면),가금초등학교,1,37.0267848,127.8553477,37.02678480330281127.8553477133125,,,
충북,충청북도 충주시 중앙탑면 첨단산업로 670 (중앙탑면),가금초등학교,1,37.0267848,127.8553477,37.02678480330281127.8553477133125,,,
충남,충청남도 청양군 비봉면 충절로1962-7(록평리 29번지),가남초등학교,1,36.51660529,126.7882107,36.516605289998154126.78821066550407,,,
경기,경기도 양주시 광적면 부흥로 793. 가납초등학교 (광적면),가납초등학교,1,37.81927674,126.9830274,37.81927674476327126.98302735666635,,,
경기,경기도 평택시 비전2로 265(죽백동. 가내초등학교),가내초등학교,1,37.00656102,127.1143948,37.006561015708127.11439480775248,,,
경기,경기도 의정부시 의정로140번길 15. 가능초등학교 (가능동),가능초등학교,1,37.74605315,127.0355865,37.74605314681421127.03558652787028,,,
충북,충청북도 청주시 상당구 가덕면 단재로 1448(가덕면),가덕초등학교,1,36.57834121,127.5783341,36.578341205726474127.57833408219946,,,
부산,부산광역시 기장군 정관읍 정관5로 100(정관읍),가동초등학교,1,35.32653497,129.1788655,35.3265349695003129.17886551450394,,,
세종,세종특별자치시  세종로 941(새롬동. 가득초등학교),가득초등학교,1,36.48751924,127.2440474,36.48751923650061127.2440473649572,,,
