학교명,시도,주소,상태,조사기준일
가거도초등학교,전남,전라남도 신안군 흑산면가거도리 266,기존(원)교,20180401
가경초등학교,충북,충청북도 청주시 흥덕구장구봉로 93(복대2동 2443),기존(원)교,20180401
가고파초등학교,경남,경상남도 창원시 마산회원구 양덕동84-3,신설(원)교,20180401
가곡초등학교,충북,충청북도 단양군 가곡면 사평리435번지,기존(원)교,20180401
가곡초등학교대곡분교장,충북,충청북도 단양군 가곡면 대대리220-1,기존(원)교,20180401
가곡초등학교보발분교장,충북,충청북도 단양군 가곡면 보발본동1길 17. 가곡초등학교 보발분교장 (가곡면.가곡초등학교보발분교장),기존(원)교,20180401
가금초등학교,충북,충청북도 충주시 중앙탑면 첨단산업로 670 (중앙탑면),기존(원)교,20150401
가남초등학교,충남,충청남도 청양군 비봉면 충절로1962-7(록평리 29번지),신설(원)교,20180401
가납초등학교,경기,경기도 양주시 광적면 부흥로 793. 가납초등학교 (광적면),기존(원)교,20180401
가내초등학교,경기,경기도 평택시 비전2로 265(죽백동. 가내초등학교),신설(원)교,20180401
가능초등학교,경기,경기도 의정부시 의정로140번길 15. 가능초등학교 (가능동),기존(원)교,20180401
가덕초등학교,충북,충청북도 청주시 상당구 가덕면 단재로 1448(가덕면),기존(원)교,20180401
가동초등학교,부산,부산광역시 기장군 정관읍 정관5로 100(정관읍),신설(원)교,20180401
가득초등학교,세종,세종특별자치시  세종로 941(새롬동. 가득초등학교),신설(원)교,20180401
가락초등학교,세종,세종특별자치시  마음로 208가락초등학교 (고운동),신설(원)교,20180401
가람초등학교,경남,경상남도 진주시 상평동278-1 (남강로 959번길 22),기존(원)교,20180401
가례초등학교,경남,경상남도 의령군 가례면 수성리199-2,기존(원)교,20180401
가림초등학교,경기,경기도 광명시 하안3동297번지,기존(원)교,20180401
가마초등학교,제주,제주특별자치도 서귀포시 표선면 일주동로6285번길 8. 가마초등학교 (표선면),기존(원)교,20180401
가북초등학교,경남,경상남도 거창군 가북면가북로 628(우혜리 1895번지),기존(원)교,20180401
가사초등학교,충남,충청남도 서산시 부석면 강경벌로 478. 가사초등학교 (부석면.가사초등학교),기존(원)교,20180401
가산초등학교,부산,부산광역시 부산진구 엄광로182번길 49가산초등학교,기존(원)교,20180401
가수원초등학교,대전,대전광역시 서구 벌곡로 1359(가수원동.가수원초등학교),기존(원)교,20180401
가수초등학교,경기,경기도 오산시 가수로50,기존(원)교,20180401
가야곡초등학교,충남,충청남도 논산시 가야곡면 덕은로160(강청리 343-14),기존(원)교,20180401
가야초등학교,부산,부산광역시 부산진구 대학로22(가야동) 가야초등학교,기존(원)교,20180401
가양초등학교,경남,경상남도 양산시 물금읍 물금로 60(물금읍),신설(원)교,20180401
가온초등학교,경기,경기도 파주시 목동동38-7(가온로134),신설(원)교,20180401
가운초등학교,경기,경기도 남양주시 가운로2길 54(가운동.가운초등학교),신설(원)교,20180401
가율초등학교,경기,경기도 안성시 보개면 이전리347-2번지,기존(원)교,20100401
가은초등학교,경북,경상북도 문경시 가은읍 왕릉리292번지,기존(원)교,20180401
가은초등학교희양분교장,경북,경상북도 문경시 가은읍 상괴리450,기존(원)교,20180401
가음초등학교,경북,경상북도 의성군 가음면 산성가음로2194,기존(원)교,20180401
가정초등학교,강원,강원 춘천시 남면 가정리838번지,기존(원)교,20080401
가조초등학교,경남,경상남도 거창군 가조면 마상리336-4,기존(원)교,20180401
가좌초등학교,경남,경상남도 진주시 내동로348번길 17(가좌동.가좌초등학교),기존(원)교,20180401
가천초등학교,전북,전북 완주군 경천면가천리 351,기존(원)교,20180401
가천초등학교무학분교장,경북,경상북도 성주군 금수면 성주로587-4,기존(원)교,20170401
가파초등학교,제주,제주특별자치도 서귀포시 대정읍 가파리67번길 45,기존(원)교,20180401
가파초등학교마라분교장,제주,제주특별자치도 서귀포시 대정읍 마라로58,휴(원)교,20180401
가평마장초등학교,경기,경기도 가평군 가평읍 마장리357번지,기존(원)교,20180401
가평초등학교,충북,충청북도 단양군 매포읍 가평길58,기존(원)교,20180401
가포초등학교,경남,경상남도 창원시 마산합포구418번지,기존(원)교,20180401
가현초등학교,경기,경기도 김포시 장기동698-1 답 일원,신설(원)교,20180401
가회초등학교,경남,경상남도 합천군 가회면 황매산로58-2번지,기존(원)교,20180401
가흥초등학교,충북,충청북도 충주시 중앙탑면 가곡로 2037. 가흥초등학교 (중앙탑면),기존(원)교,20180401
각골초등학교,경기,경기도 안산시 상록구 석호로384번지,기존(원)교,20180401
각남초등학교,경북,경상북도 청도군 각남면 예리498,기존(원)교,20180401
각리초등학교,충북,충청북도 청주시 청원구 오창읍 오창중앙로 47-8. 각리초등학교 (오창읍),기존(원)교,20180401
각화초등학교,광주,광주광역시 북구 각화동농산물시장 2길 79,기존(원)교,20180401
간문초등학교,전남,전라남도 구례군 간전면간전중앙로 164번지,기존(원)교,20180401
간성초등학교,강원,강원도 고성군 간성읍 신안리192번지,기존(원)교,20180401
간중초등학교,전북,전북 완주군 용진면 간중리616-1,기존(원)교,20180401
갈곡초등학교,경기,경기도 용인시 기흥구강남동로 61,기존(원)교,20180401
갈곶초등학교,경기,경기도 평택시 진위면LG로 57번지,기존(원)교,20180401
갈담초등학교,전북,전북 임실군 강진면 갈담리347번지,기존(원)교,20180401
갈래초등학교,강원,강원도 정선군 고한읍고한로300,기존(원)교,20180401
갈매초등학교,경기,경기도 구리시 경춘북로182번길65,휴(원)교,20180401
갈뫼초등학교,경기,경기도 의왕시 내손동780,기존(원)교,20180401
갈산초등학교,충남,충청남도 홍성군 갈산면 상촌리70,기존(원)교,20180401
갈원초등학교,충북,충청북도 청주시 서원구 남이면 저산척북로 375(남이면. 갈원초등학교),기존(원)교,20180401
갈육초등학교,경남,경상남도 하동군 금성면 금성로521,기존(원)교,20180401
갈전초등학교,경남,경상남도 진주시 사들로 173(충무공동),신설(원)교,20180401
갈천초등학교,경기,경기도 화성시 향남읍 발안로 701-23(향남읍.갈천초등학교),기존(원)교,20180401
갈현초등학교,경기,경기도 파주시 탄현면 평화로591번길 76(탄현면),기존(원)교,20180401
감계초등학교,경남,경상남도 창원시 의창구 북면 감계로140번길 51(북면),신설(원)교,20180401
감곡초등학교,충북,충청북도 음성군 감곡면 장감로 207. 감곡초등학교 (감곡면),기존(원)교,20180401
감물초등학교,충북,충청북도 괴산군 감물면 오성리81-1,기존(원)교,20180401
감성초등학교,충남,충청남도 연기군 금남면 감성리46,기존(원)교,20180401
감전초등학교,부산,부산광역시 사상구 괘감로132(감전동),기존(원)교,20180401
감정1초등학교,경기,경기도 김포시 태장로 821 . 감정1초등학교 (장기동),신설(원)교,20170401
감정초등학교,부산,부산광역시 사하구 옥천로 130(감천동.감정초등학교),기존(원)교,20180401
감천초등학교,부산,부산광역시 사하구 원양로 368-2(감천동.감천초등학교),기존(원)교,20180401
감천초등학교덕율분교장,경북,경북 예천군 감천면 덕율리143번지,기존(원)교,20080401
감포초등학교,경북,경상북도 경주시 감포읍 감포로10길21,기존(원)교,20180401
갑룡초등학교,인천,인천광역시 강화군 강화읍 갑룡길 88. 갑룡초등학교 (강화읍.갑룡초등학교),기존(원)교,20180401
갑천초등학교,강원,강원도 횡성군 청정로262번지,기존(원)교,20180401
갑천초등학교금성분교,강원,강원 횡성군 갑천면 하대리44번지,기존(원)교,20080401
갑천초등학교금성분교장,강원,강원도 횡성군 갑천면 하대리605번지,기존(원)교,20170401
강경산양초등학교,충남,충청남도 논산시 강경읍 산양길45 (산양리 237),기존(원)교,20180401
강경중앙초등학교,충남,충청남도 논산시 강경읍 중앙리8번지(중앙리155번지),기존(원)교,20180401
강경황산초등학교,충남,충청남도 논산시 강경읍 황산리34번길 5(강경읍 황산리 31-2),기존(원)교,20180401
강구초등학교,경북,경상북도 영덕군 강구면나비산길 8,기존(원)교,20180401
강남초등학교,울산,울산광역시 남구 중앙로166번길 51(달동.강남초등학교),기존(원)교,20180401
강내초등학교,충북,충청북도 청주시 흥덕구 강내면 태성탑연로 117. 강내초등학교 (강내면),기존(원)교,20180401
강당초등학교,충남,충청남도 서산시 부석면 인정로 183번지(강당리 510번지),기존(원)교,20180401
강동초등학교,울산,울산광역시 북구 화암4길 5(산하동. 강동초등학교),기존(원)교,20180401
강동초등학교단구분교장,경북,경상북도 경주시 강동면 단구안계길62-1,기존(원)교,20130401
강동초등학교왕신분교장,경북,경북 경주시 강동면 왕신리669-1번지,기존(원)교,20080401
강릉초등학교,강원,강원도 강릉시 홍제동38번지,기존(원)교,20180401
강림초등학교,강원,강원도 횡성군 강림면 태종로강림4길 11. 강림초등학교 (강림면. 강림초등학교),기존(원)교,20180401
강림초등학교 부곡분교장,강원,강원 횡성군 강림면 부곡리617,기존(원)교,20080401
강림초등학교부곡분교장,강원,강원도 횡성군 강림면 부곡2리617 번지,기존(원)교,20100401
강상초등학교,경기,경기도 양평군 강상면 신화리251번지,기존(원)교,20180401
강서초등학교,충북,충청북도 청주시 흥덕구 비하로9번길 38. 강서초등학교 (비하동),기존(원)교,20180401
강선초등학교,경기,경기도 고양시 일산서구 주엽동64번지,기존(원)교,20180401
강외초등학교,충북,충북 청원군 오송읍 오송2길26,기존(원)교,20140401
강정초등학교,제주,제주특별자치도 서귀포시 말질로188,기존(원)교,20180401
강진동초등학교,전남,전라남도 강진군 강진읍중앙로 180,기존(원)교,20180401
강진북초등학교,전남,전라남도 강진군 강진읍지전로안길 83,기존(원)교,20180401
강진서초등학교,전남,전남 강진군 강진읍 학명리320-1,기존(원)교,20080401
강진중앙초등학교,전남,전라남도 강진군 강진읍평동리 235,기존(원)교,20180401
강천초등학교,충북,충청북도 충주시 앙성면학교말2길 50,기존(원)교,20180401
강포초등학교,강원,강원도 철원군 갈말읍 강포리81-4 번지,기존(원)교,20110401
강하초등학교,경기,경기도 양평군 강하면 운심리43-2,기존(원)교,20180401
강현초등학교,강원,강원도 양양군 강현면 진미로12번길 22(강현면),기존(원)교,20180401
강화초등학교,인천,인천광역시 강화군 강화읍 북문길 36. 강화초등학교 (강화읍. 강화초등학교),기존(원)교,20180401
개곡초등학교,경기,경기도 김포시 월곶면 애기봉로 445(월곶면.개곡초등학교),기존(원)교,20180401
개군초등학교,경기,경기도 양평군 개군면 하자포리자진개1길 23,기존(원)교,20180401
개금초등학교,부산,부산광역시 부산진구 개금동476-1,기존(원)교,20180401
개령서부초등학교,경북,경상북도 김천시 개령면 신룡리633,기존(원)교,20180401
개령초등학교,경북,경상북도 김천시 개령면 동부리60,기존(원)교,20180401
개림초등학교,부산,부산광역시 부산진구 백양대로320번길40(개금동),기존(원)교,20180401
개산초등학교,경기,경기도 안성시 금광면 외개산길 42(금광면),기존(원)교,20180401
개신초등학교,충북,충청북도 청주시 흥덕구 신율로 20(개신동.개신초등학교),기존(원)교,20180401
개야도초등학교,전북,전북 군산시 옥도면 개야도리 개야도563,기존(원)교,20180401
개운초등학교,울산,울산광역시 남구 선암동559-11,기존(원)교,20180401
개원초등학교,부산,부산광역시 부산진구 백양관문로77번길 17. 개원초등학교 (개금동),기존(원)교,20180401
개정초등학교,전북,전북 군산시 개정면 아동리233(동정1길5,기존(원)교,20180401
개진초등학교,경북,경상북도 고령군 개진면 오사길83,기존(원)교,20180401
개천초등학교,경남,경상남도 고성군 개천면 옥천로1268,기존(원)교,20180401
개포초등학교,부산,부산광역시 부산진구 백양대로208번길9(개금동)개포초등학교,기존(원)교,20180401
개화초등학교,충남,충청남도 보령시 성주면 성주산로735,기존(원)교,20180401
거류초등학교,경남,경상남도 고성군 거류면 당동리66,기존(원)교,20180401
거문초등학교,전남,전라남도 여수시 삼산면거문학교길25,기존(원)교,20180401
거문초등학교덕촌분교장,전남,전라남도 여수시 삼산면 덕흥1길26,휴(원)교,20180401
거문초등학교동도분교장,전남,전라남도 여수시 삼산면 동도리1012,기존(원)교,20180401
거문초등학교서도분교장,전남,전라남도 여수시 삼산면 서도리25,휴(원)교,20180401
거문초등학교손죽분교장,전남,전라남도 여수시 삼산면 손죽새터길 6-7거문초등학교손죽분교장,기존(원)교,20180401
거산초등학교,충남,충청남도 아산시 송악면 외암로460,기존(원)교,20180401
거성초등학교,강원,강원도 고성군 거진읍 거진리180,기존(원)교,20180401
거여초등학교,경북,경상북도 영천시 금호읍 관정리449번지,기존(원)교,20180401
거제고현초등학교,경남,경상남도 거제시 상동동497,기존(원)교,20180401
거제상동초등학교,경남,경상남도 거제시 상동5길 75-41. 거제상동초등학교 (상동동. 거제상동초등학교),신설(원)교,20180401
거제중앙초등학교,경남,경상남도 거제시 중곡로2길 45. 거제중앙초등학교 (고현동),기존(원)교,20180401
거제초등학교,부산,부산광역시 연제구 해맞이로 39(거제동.거제초등학교),기존(원)교,20180401
거진초등학교,강원,강원도 고성군 거진읍 자산리72번지,기존(원)교,20180401
거진초등학교송정분교장,강원,강원도 고성군 거진읍 송정리139 번지,기존(원)교,20150401
거창초등학교,경남,경상남도 거창군 거창읍 중앙리311,기존(원)교,20180401
거학초등학교,부산,부산광역시 연제구 교대로24번길 36(거제동.거학초등학교),기존(원)교,20180401
건국초등학교,광주,광주광역시 북구 첨단연신로108번길 86. 건국초등학교 (신용동),신설(원)교,20180401
건원초등학교,경기,경기도 구리시 인창동514,신설(원)교,20180401
건천초등학교,경북,경상북도 경주시 건천읍 내서로1105,기존(원)교,20180401
걸포초등학교,경기,경기도 김포시 걸포로22(걸포동1565)걸포초등학교,신설(원)교,20180401
검단초등학교,울산,울산광역시 울주군 웅촌면 은현작동로 58. 검단초등학교 (웅촌면),기존(원)교,20180401
검바위초등학교,경기,경기도 시흥시 은행동258-1,기존(원)교,20180401
검산초등학교,경기,경기도 파주시 검산로10,기존(원)교,20180401
격동초등학교,울산,울산시 남구 문수로344번길 4,기존(원)교,20180401
격포초등학교,전북,전북 부안군 변산면격포리 271-53,기존(원)교,20180401
결성초등학교,충남,충청남도 홍성군 결성면 홍남서로738번길 30(결성면.결성초등학교),기존(원)교,20180401
겸백초등학교,전남,전라남도 보성군 겸백면석호리 563,기존(원)교,20180401
경기초등학교,서울,서울특별시 서대문구 충정로2가70번지,기존(원)교,20180401
경덕초등학교,충북,충청북도 청주시 흥덕구 장구봉로36(가경동 1504),기존(원)교,20180401
경복초등학교,서울,서울특별시 광진구 천호대로130길 58. 경복초등학교 (능동),기존(원)교,20180401
경북대학교사범대학부설초등학교,대구,대구광역시 중구 봉산동162 (중구 달구벌대로 2150),기존(원)교,20180401
경산동부초등학교,경북,경상북도 경산시 원효로28길 60-6(계양동.동부초등학교),기존(원)교,20180401
경산서부초등학교,경북,경상북도 경산시 옥산동736-1번지,기존(원)교,20180401
경산압량초등학교,경북,경상북도 경산시 압량면 압독2로 38(압량면),기존(원)교,20180401
경산중앙초등학교,경북,경상북도 경산시중앙초등길 9,기존(원)교,20180401
경산초등학교,충북,충청북도 청주시 흥덕구경산로 82-12,기존(원)교,20180401
경수초등학교,경기,경기도 안산시 상록구 성포동594-3,기존(원)교,20180401
경안초등학교,경기,경기도 광주시 경안로 163. 경안초등학교 (경안동),기존(원)교,20180401
경양초등학교,광주,광주광역시 북구 북문대로98번길 20. 경양초등학교 (운암동),기존(원)교,20180401
경운초등학교,경남,김해시 우암로 73번길 8(내동)경운초등학교,기존(원)교,20180401
경의초등학교,경기,경기도 의정부시 의정부3동366번지,기존(원)교,20180401
경인교육대학교부설초등학교,인천,인천광역시 계양구 효성동산19-1(안남로 656번지),기존(원)교,20180401
경일초등학교,경기,경기도 안산시 상록구 성포로 47(성포동.경일초등학교),기존(원)교,20180401
경주초등학교,경북,경상북도 경주시 충효2길 20(충효동.경주초등학교),기존(원)교,20180401
경주초등학교화천분교장,경북,경북 경주시 건천읍 화천리1330번지,기존(원)교,20090401
경천초등학교,충남,충청남도 공주시 계룡면신원사로 112(경천리 371-1),기존(원)교,20180401
경포대초등학교,강원,강원도 강릉시 안현동106-6번지(민미마을길 21),기존(원)교,20180401
