시도,주소,학교명,상태,위도,경도
전남,전라남도 신안군 흑산면가거도리 266,가거도초등학교,1,34.05290894,125.1302067
충북,충청북도 청주시 흥덕구장구봉로 93(복대2동 2443),가경초등학교,1,36.62443315,127.4436286
경남,경상남도 창원시 마산회원구 양덕동84-3,가고파초등학교,1,35.22552352,128.5805425
충북,충청북도 단양군 가곡면 사평리435번지,가곡초등학교,1,37.02733943,128.3852164
충북,충청북도 단양군 가곡면 대대리220-1,가곡초등학교대곡분교장,1,36.99800792,128.4270514
충북,충청북도 단양군 가곡면 보발본동1길 17. 가곡초등학교 보발분교장 (가곡면.가곡초등학교보발분교장),가곡초등학교보발분교장,1,37.02909545,128.4488139
충남,충청남도 청양군 비봉면 충절로1962-7(록평리 29번지),가남초등학교,1,36.51660529,126.7882107
경기,경기도 양주시 광적면 부흥로 793. 가납초등학교 (광적면),가납초등학교,1,37.81927674,126.9830274
경기,경기도 평택시 비전2로 265(죽백동. 가내초등학교),가내초등학교,1,37.00656102,127.1143948
경기,경기도 의정부시 의정로140번길 15. 가능초등학교 (가능동),가능초등학교,1,37.74605315,127.0355865
충북,충청북도 청주시 상당구 가덕면 단재로 1448(가덕면),가덕초등학교,1,36.57834121,127.5783341
부산,부산광역시 기장군 정관읍 정관5로 100(정관읍),가동초등학교,1,35.32653497,129.1788655
세종,세종특별자치시  세종로 941(새롬동. 가득초등학교),가득초등학교,1,36.48751924,127.2440474
세종,세종특별자치시  마음로 208가락초등학교 (고운동),가락초등학교,1,36.51541659,127.2307783
경남,경상남도 진주시 상평동278-1 (남강로 959번길 22),가람초등학교,1,35.17331106,128.101448
경남,경상남도 의령군 가례면 수성리199-2,가례초등학교,1,35.33319004,128.2464856
경기,경기도 광명시 하안3동297번지,가림초등학교,1,37.45831403,126.8791111
제주,제주특별자치도 서귀포시 표선면 일주동로6285번길 8. 가마초등학교 (표선면),가마초등학교,1,33.30532605,126.7995793
경남,경상남도 거창군 가북면가북로 628(우혜리 1895번지),가북초등학교,1,35.76281918,127.9927335
충남,충청남도 서산시 부석면 강경벌로 478. 가사초등학교 (부석면.가사초등학교),가사초등학교,1,36.75257303,126.3716087
경남,경상남도 합천군 가야면 사촌리 166,가산초,0,35.74972651,128.1276647
부산,부산광역시 부산진구 엄광로182번길 49가산초등학교,가산초등학교,1,35.14635842,129.0355651
대전,대전광역시 서구 벌곡로 1359(가수원동.가수원초등학교),가수원초등학교,1,36.30267459,127.3536171
경기,경기도 오산시 가수로50,가수초등학교,1,37.14799169,127.0478079
충남,충청남도 논산시 가야곡면 덕은로160(강청리 343-14),가야곡초등학교,1,36.14372123,127.1687603
부산,부산광역시 부산진구 대학로22(가야동) 가야초등학교,가야초등학교,1,35.15338798,129.0355383
경남,경상남도 양산시 물금읍 물금로 60(물금읍),가양초등학교,1,35.31048175,128.9913636
경기,경기도 남양주시 가운로2길 54(가운동.가운초등학교),가운초등학교,1,37.60062384,127.1559746
경북,경상북도 문경시 가은읍 상괴리450,가은초등학교희양분교장,1,36.67013423,128.0117628
경북,경상북도 의성군 가음면 산성가음로2194,가음초등학교,1,36.23163912,128.727703
강원,강원도 춘천시 남면 가정리 838-1,가정초,0,37.73682305,127.577584
경남,경상남도 거창군 가조면 마상리336-4,가조초등학교,1,35.71092072,128.0137346
경남,경상남도 진주시 내동로348번길 17(가좌동.가좌초등학교),가좌초등학교,1,35.14931541,128.1033587
전북,전북 완주군 경천면가천리 351,가천초등학교,1,36.03260957,127.2638687
제주,제주특별자치도 서귀포시 대정읍 가파리67번길 45,가파초등학교,1,33.16910993,126.2703897
제주,제주특별자치도 서귀포시 대정읍 마라로58,가파초등학교마라분교장,0,33.11903331,126.2666553
경기,경기도 가평군 가평읍 마장리357번지,가평마장초등학교,1,37.86001569,127.514535
충북,충청북도 단양군 매포읍 가평길58,가평초등학교,1,37.07302444,128.2826301
경남,경상남도 합천군 가회면 황매산로58-2번지,가회초등학교,1,35.43565124,128.034363
충북,충청북도 충주시 중앙탑면 가곡로 2037. 가흥초등학교 (중앙탑면),가흥초등학교,1,37.07654983,127.8535674
경기,경기도 안산시 상록구 석호로384번지,각골초등학교,1,37.29281502,126.8733585
경북,경상북도 청도군 각남면 예리498,각남초등학교,1,35.64269528,128.6572139
충북,충청북도 청주시 청원구 오창읍 오창중앙로 47-8. 각리초등학교 (오창읍),각리초등학교,1,36.70664773,127.4239828
전남,전라남도 구례군 간전면간전중앙로 164번지,간문초등학교,1,35.17725419,127.5420274
강원,강원도 고성군 간성읍 신안리192번지,간성초등학교,1,38.37747251,128.469268
전북,전북 완주군 용진면 간중리616-1,간중초등학교,1,35.89089358,127.1812693
경기,경기도 용인시 기흥구강남동로 61,갈곡초등학교,1,37.27119692,127.1335505
전북,전북 임실군 강진면 갈담리347번지,갈담초등학교,1,35.53110525,127.1655581
강원,강원도 정선군 고한읍고한로300,갈래초등학교,1,37.19500783,128.8663941
경기,경기도 의왕시 내손동780,갈뫼초등학교,1,37.37660697,126.9722933
충남,충청남도 홍성군 갈산면 상촌리70,갈산초등학교,1,36.60242065,126.5545394
충북,충청북도 청주시 서원구 남이면 저산척북로 375(남이면. 갈원초등학교),갈원초등학교,1,36.56874656,127.3965768
경남,경상남도 하동군 금성면 금성로521,갈육초등학교,1,34.94871862,127.7839899
경남,경상남도 진주시 사들로 173(충무공동),갈전초등학교,1,35.1829423,128.1489857
경기,경기도 화성시 향남읍 발안로 701-23(향남읍.갈천초등학교),갈천초등학교,1,37.12738708,126.9806894
경기,경기도 파주시 탄현면 평화로591번길 76(탄현면),갈현초등학교,1,37.77190783,126.7169297
경남,경상남도 창원시 의창구 북면 감계로140번길 51(북면),감계초등학교,1,35.30033888,128.588601
충북,충청북도 음성군 감곡면 장감로 207. 감곡초등학교 (감곡면),감곡초등학교,1,37.11610732,127.6444842
충북,충청북도 괴산군 감물면 오성리81-1,감물초등학교,1,36.83905078,127.8715928
충남,충청남도 연기군 금남면 감성리46,감성초등학교,1,36.4435358,127.2890552
부산,부산광역시 사상구 괘감로132(감전동),감전초등학교,1,35.15578442,128.9882742
부산,부산광역시 사하구 원양로 368-2(감천동.감천초등학교),감천초등학교,1,35.08341204,129.0075433
경북,경북 예천군 보문면 옥천리242번지,감천초등학교옥천분교장,0,36.7095152,128.5555325
경북,경상북도 경주시 감포읍 감포로10길21,감포초등학교,1,35.81000189,129.5018376
인천,인천광역시 강화군 강화읍 갑룡길 88. 갑룡초등학교 (강화읍.갑룡초등학교),갑룡초등학교,1,37.7437261,126.5034668
강원,강원도 횡성군 청정로262번지,갑천초등학교,1,37.55741564,128.107992
강원,강원도 횡성군 갑천면 하대리605번지,갑천초등학교금성분교장,1,37.52706501,128.1530824
충남,충청남도 논산시 강경읍 산양길45 (산양리 237),강경산양초등학교,1,36.14753668,127.0219967
충남,충청남도 논산시 강경읍 황산리34번길 5(강경읍 황산리 31-2),강경황산초등학교,1,36.15785505,127.0130335
경북,경상북도 영덕군 강구면나비산길 8,강구초등학교,1,36.35720358,129.3785286
울산,울산광역시 남구 중앙로166번길 51(달동.강남초등학교),강남초등학교,1,35.53790738,129.3188044
충북,충청북도 청주시 흥덕구 강내면 태성탑연로 117. 강내초등학교 (강내면),강내초등학교,1,36.5971031,127.3568245
충남,충청남도 서산시 부석면 인정로 183번지(강당리 510번지),강당초등학교,1,36.66196273,126.4013554
울산,울산광역시 북구 화암4길 5(산하동. 강동초등학교),강동초등학교,1,35.63116053,129.4348646
강원,강원도 강릉시 홍제동38번지,강릉초등학교,1,37.75345044,128.8881936
